permit_id,permit_num,revision_num,permit_type_id,application_date,issued_date,completed_date,est_const_cost,description,dwelling_units_created,dwelling_units_lost,ward_id,structure_type_id,work_type_id,status_id,builder_id,address_id,address_id,street_num,postal,street_id,,,,,,,
14253,19 106142 PLB,1,16,2023-05-26,2023-09-21,NULL,NULL,Revision 01 - To revise the sanitary schematic design and installation in connection with the permit to construct an 86 storey mixed use building with four levels below grade parking and one level below grade concourse .Plumbing  - Proposal to construct a 86 storey mixed use building with 4 levels of below grade commercial parking and one level of below grade commercial space.,0,0,44359,106,21,44,NULL,9,9,1,M4W,9,,,,,,,
17111,21 247526 PLB,0,16,2021-12-11,2022-06-22,NULL,NULL,Plumbing  - Proposed interior alterations for fit-out of cafeteria with bar and lounge and kitchen space,0,0,44359,162,21,32,NULL,9,9,1,M4W,9,,,,,,,
18824,19 106142 DRN,0,8,2019-01-18,2020-03-04,NULL,NULL,Drain - Proposal to construct a 86 storey mixed use building with 4 levels of below grade commercial parking and one level of below grade commercial space.,0,0,44359,106,18,21,NULL,9,9,1,M4W,9,,,,,,,
19179,22 102049 BLD,0,2,2022-01-10,2022-06-22,NULL,3950000.00,"Fit out for Hotel Amenities (Lobby, Restaurant, Fitness Area and Public washrooms) and back of house spaces for Hotel services and staff (Offices, Washrooms, Change rooms and Kitchen) in Connection with New Mixed Use building.",0,0,44359,107,67,21,NULL,9,9,1,M4W,9,,,,,,,
20949,22 141771 PLB,0,16,2022-05-03,2022-10-12,NULL,NULL,"Plumbing  - Fit out for Hotel Suites Levels 7-16 (10 floor plates) with back of house Hotel Service Room, in connection with new mixed use building",0,0,44359,107,21,32,NULL,9,9,1,M4W,9,,,,,,,
21036,22 141771 BLD,0,2,2022-05-03,2022-10-12,NULL,25000000.00,"Fit out for Hotel Suites Levels 7-16 (10 floor plates) with back of house Hotel Service Room, in connection with new mixed use building",0,0,44359,107,67,32,NULL,9,9,1,M4W,9,,,,,,,
26228,22 102049 HVA,0,10,2022-01-10,2022-06-22,NULL,NULL,"HVAC - Fit out for Hotel Amenities (Lobby, Restaurant, Fitness Area and Public washrooms) and back of house spaces for Hotel services and staff (Offices, Washrooms, Change rooms and Kitchen) in Connection with New Mixed Use building.",0,0,44359,107,20,32,NULL,9,9,1,M4W,9,,,,,,,
2852,22 192098 PSA,0,16,2022-08-17,2022-09-19,NULL,25000.00,Tie in exterior shower drain and exterior kitchen sink to building sanitary drain lines,0,0,NULL,9,45,21,NULL,10,10,1,M4W,83,,,,,,,
7396,11 187218 HVA,0,10,2011-05-30,2011-06-07,NULL,NULL,"HVAC - Proposed interior alterations to basement, ground floor, and second floor.",0,0,NULL,166,20,45,NULL,11,11,1,M4W,90,,,,,,,
23770,11 187218 PLB,0,16,2011-05-04,2011-05-05,NULL,NULL,"Plumbing - Proposed interior alterations to basement, ground floor, and second floor.",0,0,NULL,166,21,21,NULL,11,11,1,M4W,90,,,,,,,
23981,11 187218 BLD,0,21,2011-05-04,2011-05-05,NULL,40000.00,"Proposed interior alterations to basement, ground floor, and second floor.",0,0,NULL,166,73,21,NULL,11,11,1,M4W,90,,,,,,,
24540,11 115808 BLD,0,21,2011-01-28,2011-03-16,NULL,500000.00,"Proposal for interior alterations to basement (62m2) and floors first, second, and third (186m2) for existing three storey single family townhouse condo, including plumbing alterations.Convenience address: 17 Ancroft Place",0,0,NULL,166,73,21,NULL,11,11,1,M4W,90,,,,,,,
646,25 230124 ZPR,0,25,2025-09-24,NULL,NULL,NULL,"Replacement of illuminated sign lettering as directed by City Council to Sankofa Square""",0,0,51225,116,112,26,NULL,12,12,1,M5B,25,,,,,,,
7269,99 118559 HVA,0,10,1999-12-31,2000-04-17,NULL,0.00,"Install Heating System in P1, P2, P3, & P4, refer to appln. 424642.",0,0,51225,125,64,21,NULL,12,12,1,M5B,25,,,,,,,
15885,23 228455 TPS,0,22,2023-11-22,2023-11-24,NULL,NULL,"We are setting up temporarily for 1 day a group of 3 tents of 125 Meter Square total.  This is on Nov 25, 2023",0,0,51225,94,83,32,NULL,12,12,1,M5B,25,,,,,,,
23821,02 125918 PLB,0,16,2002-04-11,NULL,NULL,NULL,"install fixtures: 15 wc, 14 wb, 7 urinals, 1 shower, 8 fd, 1 janitor sink, cost included in bp 424642                      withdrawn by applicant",0,0,51225,125,21,25,NULL,12,12,1,M5B,25,,,,,,,
24333,24 135307 TPS,0,22,2024-04-11,2024-05-06,NULL,NULL,"Temporary seasonal stage and truss for an event - installation date May 20, 2024 and removal date October 31, 2024 - Yonge/Dundas Square",0,0,51225,27,124,32,NULL,12,12,1,M5B,25,,,,,,,
24473,16 149647 DST,0,7,2016-05-03,2016-05-17,NULL,1000.00,Replace old with new commercial sign.,0,0,51225,193,85,32,NULL,12,12,1,M5B,25,,,,,,,
919,25 157065 PLB,0,16,2025-05-09,2025-06-18,NULL,NULL,"Plumbing  - INTERIOR ALTERATIONS (NON-RESIDENTIAL), EXISTING OFFICE SUITE FIT-OUT - 6TH FLOOR",0,0,51728,118,21,21,NULL,13,13,1,M5C,1,,,,,,,
1725,25 157065 BLD,0,2,2025-05-09,2025-06-17,NULL,100000.00,"INTERIOR ALTERATIONS (NON-RESIDENTIAL), EXISTING OFFICE SUITE FIT-OUT - 6TH FLOOR",0,0,51728,118,67,21,NULL,13,13,1,M5C,1,,,,,,,
3039,19 237061 MSA,0,10,2019-10-16,2019-11-15,NULL,50000.00,Proposal for hvac modifications to existing office space on the ground floor,0,0,51728,118,9,32,NULL,13,13,1,M5C,1,,,,,,,
4027,24 161898 BLD,0,2,2024-06-08,2024-07-31,NULL,10000.00,"Washrooms - Existing plumbing fixtures are being removed & replaced with new.  Sprinkler heads and fire alarm device in washrooms are being removed and replaced with with same to accommodate a new ceiling installation. Elevator Lobby & Corridor - Existing ceiling being removed and replaced with new (drywall in lobby, t-bar/grid in corridors).",0,0,51728,118,67,21,NULL,13,13,1,M5C,1,,,,,,,
4066,24 208607 HVA,0,10,2024-09-05,2024-10-03,NULL,NULL,HVAC - Existing plumbing fixtures are being removed and replaced with new. Sprinkler heads and fire alarm device in washrooms are being removed and replaced to accommodate a new ceiling installation.,0,0,51728,118,20,21,NULL,13,13,1,M5C,1,,,,,,,
4649,22 166432 HVA,0,10,2022-06-22,2022-08-02,NULL,NULL,"HVAC - Interior lobby renovations including finishes upgrades (922SM); For the exterior work, we are replacing existing floor with new stone at entrance and creating a canopy/terrace at entrance; Replacing 5 existing canopies with new along Adelaide Street (222SM).",0,0,51728,118,20,21,NULL,13,13,1,M5C,1,,,,,,,
4783,25 222028 BLD,0,2,2025-09-08,2025-09-30,NULL,500000.00,Basic renovation to existing suite to remove one meeting room and the addition of 3 new private offices.,0,0,51728,118,67,32,NULL,13,13,1,M5C,1,,,,,,,
5994,22 143182 BLD,0,2,2022-05-06,2022-05-24,NULL,30000.00,Proposal for interior alterations to existing office.,0,0,51728,118,67,32,NULL,13,13,1,M5C,1,,,,,,,
6030,24 161895 BLD,0,2,2024-06-08,2024-07-17,NULL,10000.00,"Washrooms - Existing plumbing fixtures are being removed & replaced with new.  Sprinkler heads and fire alarm device in washrooms are being removed and replaced with with same to accommodate a new ceiling installation. Elevator Lobby & Corridor - Existing ceiling being removed and replaced with new (drywall in lobby, t-bar/grid in corridors).",0,0,51728,118,67,21,NULL,13,13,1,M5C,1,,,,,,,
